ticker,chi_name
930670.CSI,500商业
930671.CSI,500运输
930672.CSI,500资本品
930673.CSI,500房地产
930674.CSI,500零售
930675.CSI,500媒体
930676.CSI,500耐用
930677.CSI,500汽车汽配
930678.CSI,500半导体
930679.CSI,500硬件
930680.CSI,500软件
930681.CSI,500制药生物
930682.CSI,500食品饮料
930683.CSI,500电气设备
930684.CSI,500机械
930685.CSI,500建筑工程
930686.CSI,500多元零售
930687.CSI,500纺织服装
930688.CSI,500耐用消费
930689.CSI,500煤炭
930690.CSI,500电子仪器
930691.CSI,500制药
930692.CSI,500化学制品
930693.CSI,500建筑材料
930694.CSI,500有色金属
930695.CSI,500农牧渔
930696.CSI,500饮料
930697.CSI,家用电器
930698.CSI,CS水利
930700.CSI,CS上海
930701.CSI,CS京津冀
930702.CSI,CS西部
930703.CSI,CS福建
930704.CSI,CS广东
930705.CSI,电商数据
930706.CSI,中证水泥
930707.CSI,中证畜牧
930708.CSI,中证有色
930709.CSI,香港证券
930710.CSI,香港证券(CNY)
930711.CSI,CS智穿戴
930712.CSI,CS物联网
930713.CSI,CS人工智
930714.CSI,CS智家电
930715.CSI,CS朝阳88
930716.CSI,CS物流
930717.CSI,CS教育
930718.CSI,CS海运
930719.CSI,CS精准医
930720.CSI,CS互医疗
930721.CSI,CS智汽车
930722.CSI,CS互平台
930723.CSI,沪港深F100
930724.CSI,沪港深F100(HKD)
930725.CSI,CS车联网
930726.CSI,CS生医
930727.CSI,CS自贸区
930728.CSI,CS乐园
930729.CSI,银智100
930730.CSI,银策消费
930731.CSI,CS西藏
930732.CSI,CS中国造
930733.CSI,CS互联+
930738.CSI,四川国改
930739.CSI,银策100
930740.CSI,300红利LV
930741.CSI,CS航空
930742.CSI,中证电商
930743.CSI,中证生科
930744.CSI,中证信托
930745.CSI,CSWD数据
930746.CSI,港中小企
930747.CSI,港中小企(CNY)
930748.CSI,沪深300USD
930749.CSI,沪深300USD(CNH)
930750.CSI,中证500USD
930751.CSI,中证500USD(CNH)
930752.CSI,中证500HKD
930753.CSI,中证500HKD(CNH)
930754.CSI,民企成长USD
